Sample Age,Mean Resolution,5th Percentile Resolution,95th Percentile Resolution, Uncertainty Used
-18049,354.243360,294.498661,490.997768,42.047747
-18048.5,354.358805,294.498661,490.997768,42.047346
-18048,354.474159,294.498661,490.997768,42.046945
-18047.5,354.589421,294.498661,490.997768,42.046545
-18047,354.704591,294.498661,490.997768,42.046145
-18046.5,354.819669,294.498661,490.997768,42.045745
-18046,354.934655,294.498661,490.997768,42.045346
-18045.5,355.049550,294.498661,490.997768,42.044946
-18045,355.164354,294.498661,490.997768,42.044548
-18044.5,355.279066,294.498661,490.997768,42.044149
-18044,355.393687,294.498661,490.997768,42.043751
-18043.5,355.508217,294.498661,490.997768,42.043353
-18043,355.622656,294.498661,490.997768,42.042955
-18042.5,355.737004,294.498661,490.997768,42.042558
-18042,355.851262,294.498661,490.997768,42.042161
-18041.5,355.965428,294.498661,490.997768,42.041765
-18041,356.079505,294.498661,491.247767,42.041368
-18040.5,356.193491,294.498661,491.247767,42.040972
-18040,356.307386,294.498661,491.247767,42.040577
-18039.5,356.421191,294.498661,491.247767,42.040181
-18039,356.534907,294.498661,491.247767,42.039786
-18038.5,356.659083,294.498661,491.247767,42.039372
-18038,356.783173,294.498661,491.247767,42.038958
-18037.5,356.907177,294.498661,491.247767,42.038544
-18037,357.031095,294.498661,491.247767,42.038130
-18036.5,357.154928,294.498661,491.247767,42.037717
-18036,357.278675,294.498661,491.247767,42.037304
-18035.5,357.402336,294.498661,491.247767,42.036891
-18035,357.525912,294.498661,491.247767,42.036479
-18034.5,357.649402,294.498661,491.247767,42.036066
-18034,357.772807,294.498661,491.247767,42.035654
-18033.5,357.896126,294.498661,491.247767,42.035243
-18033,358.019361,294.498661,491.247767,42.034831
-18032.5,358.142510,294.498661,491.247767,42.034420
-18032,358.265575,294.498661,491.448797,42.034010
-18031.5,358.388554,294.498661,491.448797,42.033599
-18031,358.511449,294.498661,491.448797,42.033189
-18030.5,358.634259,294.498661,491.448797,42.032779
-18030,358.756984,294.498661,491.448797,42.032369
-18029.5,358.879625,294.498661,491.448797,42.031960
-18029,359.002181,294.498661,491.448797,42.031551
-18028.5,359.172030,294.498661,491.448797,42.031007
-18028,359.341761,294.498661,491.448797,42.030464
-18027.5,359.511373,294.498661,491.448797,42.029922
-18027,359.680867,294.498661,491.448797,42.029379
-18026.5,359.850243,294.498661,491.448797,42.028837
-18026,360.019502,294.498661,491.448797,42.028296
-18025.5,360.188642,294.498661,491.448797,42.027755
-18025,360.357665,294.498661,491.448797,42.027214
-18024.5,360.526570,294.498661,491.448797,42.026673
-18024,360.695358,294.498661,491.448797,42.026133
-18023.5,360.864028,294.498661,491.497766,42.025594
-18023,361.032581,294.498661,491.497766,42.025054
-18022.5,361.201017,294.498661,491.497766,42.024515
-18022,361.369336,294.498661,491.497766,42.023977
-18021.5,361.537538,294.498661,491.497766,42.023439
-18021,361.705624,294.498661,491.497766,42.022901
-18020.5,361.873593,294.498661,491.497766,42.022364
-18020,362.041445,294.498661,491.497766,42.021826
-18019.5,362.209181,294.498661,491.497766,42.021290
-18019,362.376801,294.498661,491.497766,42.020753
-18018.5,362.599632,294.498661,491.497766,42.020052
-18018,362.822344,294.498661,491.497766,42.019351
-18017.5,363.044936,294.498661,491.497766,42.018650
-18017,363.267408,294.498661,491.497766,42.017950
-18016.5,363.489762,294.498661,491.497766,42.017250
-18016,363.711996,294.498661,491.497766,42.016551
-18015.5,363.934110,294.498661,491.497766,42.015852
-18015,364.156106,294.498661,491.497766,42.015153
-18014.5,364.377983,294.498661,491.497766,42.014455
-18014,364.599742,294.498661,491.497766,42.013757
-18013.5,364.821381,294.498661,491.497766,42.013059
-18013,365.042902,294.498661,491.497766,42.012362
-18012.5,365.264304,294.498661,491.497766,42.011665
-18012,365.485588,294.498661,491.497766,42.010968
-18011.5,365.706753,294.498661,491.497766,42.010272
-18011,365.927801,294.498661,491.497766,42.009576
-18010.5,366.148730,294.498661,491.497766,42.008881
-18010,366.369541,294.498661,491.497766,42.008186
-18009.5,366.590234,294.498661,491.497766,42.007491
-18009,366.810809,294.498661,491.497766,42.006797
-18008.5,367.034178,294.498661,491.497766,42.006083
-18008,367.257450,294.498661,491.497766,42.005369
-18007.5,367.480625,294.498661,491.497766,42.004656
-18007,367.703704,294.498661,491.497766,42.003943
-18006.5,367.926685,294.498661,491.497766,42.003230
-18006,368.149571,294.498661,491.497766,42.002517
-18005.5,368.372359,294.498661,491.497766,42.001805
-18005,368.595052,294.498661,491.497766,42.001093
-18004.5,368.817647,294.498661,491.497766,42.000382
-18004,369.040147,294.498661,491.497766,41.999670
-18003.5,369.262550,294.498661,491.497766,41.998959
-18003,369.484857,294.498661,491.497766,41.998249
-18002.5,369.707068,294.498661,491.497766,41.997538
-18002,369.929182,294.498661,491.497766,41.996828
-18001.5,370.151201,294.498661,491.497766,41.996118
-18001,370.373123,294.498661,491.497766,41.995409
-18000.5,370.594950,294.498661,491.497766,41.994700
-18000,370.816681,294.498661,491.497766,41.993991
-17999.5,371.038316,294.498661,491.497766,41.993282
-17999,371.259855,294.498661,491.497766,41.992574
-17998.5,371.515345,294.498661,491.497766,41.991727
-17998,371.770734,294.498661,491.497766,41.990879
-17997.5,372.026020,294.498661,491.497766,41.990032
-17997,372.281205,294.498661,491.497766,41.989186
-17996.5,372.536289,294.498661,491.497766,41.988339
-17996,372.791272,294.498661,491.497766,41.987493
-17995.5,373.046153,294.498661,491.497766,41.986648
-17995,373.300932,294.498661,491.497766,41.985802
-17994.5,373.555611,294.498661,491.497766,41.984957
-17994,373.810188,294.498661,491.497766,41.984113
-17993.5,374.064665,294.498661,491.497766,41.983268
-17993,374.319040,294.498661,491.497766,41.982424
-17992.5,374.573314,294.498661,491.497766,41.981581
-17992,374.827488,294.498661,491.497766,41.980737
-17991.5,375.081560,294.498661,491.497766,41.979894
-17991,375.335532,294.498661,491.497766,41.979052
-17990.5,375.589403,294.498661,491.497766,41.978209
-17990,375.843173,294.498661,491.497766,41.977368
-17989.5,376.096843,294.498661,491.497766,41.976526
-17989,376.350413,294.498661,491.497766,41.975685
-17988.5,376.659335,294.498661,491.497766,41.974575
-17988,376.968141,294.498661,491.497766,41.973466
-17987.5,377.276831,294.653739,491.497766,41.972357
-17987,377.585406,294.653739,491.497766,41.971249
-17986.5,377.893865,294.653739,491.497766,41.970141
